countrycode,countryname,requestyear,datayear,headcount
ALB,Albania,2019,2017,.0086874189
DZA,Algeria,2019,2011.17,.003210864
AGO,Angola,2019,2018.17,.51395541
ARG,Argentina,2019,2019,.01457698
ARM,Armenia,2019,2019,.01078999
AUS,Australia,2019,2014,.004984838
AUT,Austria,2019,2018,.0056835841
AZE,Azerbaijan,2019,2005,0
BGD,Bangladesh,2019,2016,.06618195
BLR,Belarus,2019,2019,0
BEL,Belgium,2019,2018,.00081113598
BLZ,Belize,2019,1999,.14391629
BEN,Benin,2019,2015,.43381631
BTN,Bhutan,2019,2017,.0065764049
BOL,Bolivia,2019,2019,.03241089
BIH,Bosnia and Herzegovina,2019,2011,.00058986509
BWA,Botswana,2019,2015.85,.1308966
BRA,Brazil,2019,2019,.046124112
BGR,Bulgaria,2019,2018,.0078573199
BFA,Burkina Faso,2019,2014,.3282468
BDI,Burundi,2019,2013.5,.79526031
CPV,Cabo Verde,2019,2015,.02112978
CMR,Cameroon,2019,2014,.2277077
CAN,Canada,2019,2017,.0024701059
CAF,Central African Republic,2019,2008,.70760453
TCD,Chad,2019,2011,.41036969
CHL,Chile,2019,2017,.002768941
CHN,China,2019,2016,.002010735
CHN,China,2019,2016,.003783311
CHN,China,2019,2016,.00084410579
COL,Colombia,2019,2019,.049407329
COM,Comoros,2019,2014,.1831829
COD,"Congo, Democratic Republic of",2019,2012.4,.70994902
COG,"Congo, Republic of",2019,2011,.55648601
CRI,Costa Rica,2019,2019,.01012817
CIV,Cote d'Ivoire,2019,2015,.2206396
HRV,Croatia,2019,2018,.0043755048
CYP,Cyprus,2019,2018,.00016506579
CZE,Czech Republic,2019,2018,.000088618159
DNK,Denmark,2019,2018,.001701118
DJI,Djibouti,2019,2017,.14268041
DOM,Dominican Republic,2019,2019,.0056546419
ECU,Ecuador,2019,2019,.03583584
EGY,"Egypt, Arab Republic of",2019,2017.75,.040699009
SLV,El Salvador,2019,2019,.01252255
EST,Estonia,2019,2018,.0022736241
SWZ,Eswatini,2019,2016.17,.27532759
ETH,Ethiopia,2019,2015.5,.19539981
FJI,Fiji,2019,2013.24,.002117448
FIN,Finland,2019,2018,.00056774262
FRA,France,2019,2018,.0002116805
GAB,Gabon,2019,2017,.034169279
GMB,"Gambia, The",2019,2015.3101,.079777561
GEO,Georgia,2019,2019,.03783245
DEU,Germany,2019,2016,0
GHA,Ghana,2019,2016.75,.1070145
GRC,Greece,2019,2018,.001395627
GTM,Guatemala,2019,2014,.066395476
GIN,Guinea,2019,2012,.2125953
GNB,Guinea-Bissau,2019,2010,.6265226
GUY,Guyana,2019,1998,.060134109
HTI,Haiti,2019,2012,.2033373
HND,Honduras,2019,2019,.1477851
HUN,Hungary,2019,2018,.002075304
ISL,Iceland,2019,2017,0
IND,India,2019,2011.5,
IND,India,2019,2011.5,
IND,India,2019,2011.5,
IDN,Indonesia,2019,2019,.026973629
IDN,Indonesia,2019,2019,.02721151
IDN,Indonesia,2019,2019,.02678661
IRN,"Iran, Islamic Republic of",2019,2018.23,.0074300109
IRQ,Iraq,2019,2012,.01255403
IRL,Ireland,2019,2017,.002431961
ISR,Israel,2019,2016,.002413946
ITA,Italy,2019,2017,.01388643
JAM,Jamaica,2019,2004,.01795413
JPN,Japan,2019,2013,.0072788792
JOR,Jordan,2019,2010.24,.001041225
KAZ,Kazakhstan,2019,2018,.0001053785
KEN,Kenya,2019,2015.67,.3125394
KIR,Kiribati,2019,2006,.1106981
KOR,"Korea, Republic of",2019,2016,.002266651
XKX,Kosovo,2019,2017,.0022961821
KGZ,Kyrgyz Republic,2019,2019,.005553321
LAO,Lao People's Democratic Republic,2019,2018.42,.0935039
LVA,Latvia,2019,2018,.003419552
LBN,Lebanon,2019,2011.77,0
LSO,Lesotho,2019,2017.14,.28495961
LBR,Liberia,2019,2016,.4817099
LTU,Lithuania,2019,2018,.0089759612
LUX,Luxembourg,2019,2018,.0028481791
MDG,Madagascar,2019,2012,.76552421
MWI,Malawi,2019,2016.3101,.67552918
MYS,Malaysia,2019,2015.88,.000051814841
MDV,Maldives,2019,2016,0
MLI,Mali,2019,2009.89,.42263311
MLT,Malta,2019,2018,.001033806
MRT,Mauritania,2019,2014,.05348023
MUS,Mauritius,2019,2017,.001253137
MEX,Mexico,2019,2018,.017408799
FSM,"Micronesia, Federated States of",2019,2013,.1539292
MDA,Moldova,2019,2018,.0001823872
MNG,Mongolia,2019,2018,.0024020751
MNE,Montenegro,2019,2016,.02192663
MAR,Morocco,2019,2013.5,.0060332138
MOZ,Mozambique,2019,2014.4399,.62290049
MMR,Myanmar,2019,2017,.0086692888
NAM,Namibia,2019,2015.27,.15952571
NRU,Nauru,2019,2012.6899,0
NPL,Nepal,2019,2010.17,.047815021
NLD,Netherlands,2019,2018,.00099795789
NIC,Nicaragua,2019,2014,.034515541
NER,Niger,2019,2014,.39290491
NGA,Nigeria,2019,2018.75,.3919825
MKD,North Macedonia,2019,2018,.033237781
NOR,Norway,2019,2018,.0025450001
PAK,Pakistan,2019,2018.5,.042904049
PAN,Panama,2019,2019,.01217729
PNG,Papua New Guinea,2019,2009.67,.2617555
PRY,Paraguay,2019,2019,.0094934981
PER,Peru,2019,2019,.02187652
PHL,Philippines,2019,2018,.038139381
POL,Poland,2019,2019,0
PRT,Portugal,2019,2018,.0027145231
ROU,Romania,2019,2018,.01996314
RUS,Russian Federation,2019,2018,.0002919221
RWA,Rwanda,2019,2016.77,.4896968
WSM,Samoa,2019,2013.25,.0055899331
STP,Sao Tome and Principe,2019,2017,.35452119
SEN,Senegal,2019,2011.29,.2749891
SRB,Serbia,2019,2018,.00037043029
SYC,Seychelles,2019,2018.08,.0039943461
SLE,Sierra Leone,2019,2018,.40062779
SVK,Slovak Republic,2019,2018,.001694571
SVN,Slovenia,2019,2018,0
SLB,Solomon Islands,2019,2012.79,.2294462
SOM,Somalia,2019,2017,.68657702
ZAF,South Africa,2019,2014.83,.1967182
SSD,South Sudan,2019,2016.5,.80705231
ESP,Spain,2019,2018,.0087745748
LKA,Sri Lanka,2019,2016,.0057128961
LCA,St. Lucia,2019,2016,.04373724
SDN,Sudan,2019,2014,.1361862
SUR,Suriname,2019,1999,.17532469
SWE,Sweden,2019,2018,.0069337841
CHE,Switzerland,2019,2018,.00030503981
SYR,Syrian Arab Republic,2019,2003.5,.3457033
TWN,"Taiwan, China",2019,2016,0
TJK,Tajikistan,2019,2015,.02210057
TZA,Tanzania,2019,2017.92,.47716451
THA,Thailand,2019,2019,.00078892033
TLS,Timor-Leste,2019,2014,.21029469
TGO,Togo,2019,2015,.45289651
TON,Tonga,2019,2015,.005839861
TTO,Trinidad and Tobago,2019,1992,.0028305261
TUN,Tunisia,2019,2015.42,.0021919559
TUR,Turkey,2019,2019,.003606098
TKM,Turkmenistan,2019,1998,.017480209
TUV,Tuvalu,2019,2010,.002823208
UGA,Uganda,2019,2016.5,.3801738
UKR,Ukraine,2019,2019,0
ARE,United Arab Emirates,2019,2018,0
GBR,United Kingdom,2019,2017,.002980554
USA,United States,2019,2018,.0099979192
URY,Uruguay,2019,2019,.00099001313
UZB,Uzbekistan,2019,2003,.1067709
VUT,Vanuatu,2019,2010,.1416153
VNM,Vietnam,2019,2018,.01352212
PSE,West Bank and Gaza,2019,2016.75,.0089275716
YEM,"Yemen, Republic of",2019,2014,.5469076
ZMB,Zambia,2019,2015,.58521122
ZWE,Zimbabwe,2019,2019,.39529949
